MISSING_CANDIDATE	灯	あか	4
	T	あか	灯し	あかし
	T	あか	灯り	あかり
	T	あか	灯りを消す	あかりをけす
	T	あか	軒灯り	のきあかり
MISSING_CANDIDATE	灯	どん	14
	T	どん	丸行灯	まるあんどん
	T	どん	八方行灯	はっぽうあんどん
	T	どん	吊り行灯	つりあんどん
	T	どん	掛け行灯	かけあんどん
	T	どん	掛行灯	かけあんどん
MISSING_CANDIDATE	無	なし	6
	T	なし	底無	そこなし
	T	なし	文無鳥	あやなしどり
	T	なし	水無川	みずなしがわ
	T	なし	袖無	そでなし
	T	なし	袖無羽織	そでなしばおり
MISSING_CANDIDATE	然	そ	9
	T	そ	然う	そう
	T	そ	然うした	そうした
	T	そ	然うしたら	そうしたら
	T	そ	然うして	そうして
	T	そ	然うすれば	そうすれば
MISSING_CANDIDATE	焼	たき	5
	T	たき	御火焼	おひたき
	T	たき	御火焼	おほたき
	T	たき	火焼	ひたき
	T	たき	火焼	ほたき
MISSING_CANDIDATE	照	てら	3
	T	てら	照しあわせる	てらしあわせる
	T	てら	照し合わせる	てらしあわせる
	T	てら	肝胆相照す	かんたんあいてらす
MISSING_CANDIDATE	熱	いき	4
	T	いき	人熱れ	ひといきれ
	T	いき	熱り立つ	いきりたつ
	T	いき	熱れ	いきれ
	T	いき	草熱れ	くさいきれ
MISSING_CANDIDATE	牧	ぼっ	4
	T	ぼっ	牧会	ぼっかい
	T	ぼっ	牧会書簡	ぼっかいしょかん
	T	ぼっ	牧歌	ぼっか
	T	ぼっ	牧歌的	ぼっかてき
MISSING_CANDIDATE	種	くさ	8
	T	くさ	七種	ななくさ
	T	くさ	七種がゆ	ななくさがゆ
	T	くさ	七種の節句	ななくさのせっく
	T	くさ	七種粥	ななくさがゆ
	T	くさ	八千種	やちくさ
MISSING_CANDIDATE	種	す	11
	T	す	下種	げす
	T	す	下種のあと知恵	げすのあとぢえ
	T	す	下種のかんぐり	げすのかんぐり
	T	す	下種の勘ぐり	げすのかんぐり
	T	す	下種の勘繰り	げすのかんぐり
MISSING_CANDIDATE	積	つも	29
	T	つも	お積り	おつもり
	T	つも	お見積り	おみつもり
	T	つも	ちり積	ちりつも
	T	つも	チリ積	ちりつも
	T	つも	合い見積り	あいみつもり
MISSING_CANDIDATE	積	づも	3
	T	づも	心積り	こころづもり
	T	づも	木積り	きづもり
	T	づも	腹積り	はらづもり
MISSING_CANDIDATE	笑	わらい	7
	T	わらい	あいそ笑	あいそわらい
	T	わらい	泣笑	なきわらい
	T	わらい	笑	わらい
	T	わらい	笑仏	わらいぼとけ
	T	わらい	笑茸	わらいたけ
MISSING_CANDIDATE	節	よ	3
	T	よ	一節切り	ひとよぎり
	T	よ	節	よ
	T	よ	荒節	あらよ
MISSING_CANDIDATE	結	い	3
	T	い	元結	もとい
	T	い	結う	いう
	T	い	髪結	かみい
MISSING_CANDIDATE	老	おい	7
	T	おい	年老	としおい
	T	おい	老冠	おいかんむり
	T	おい	老木	おいき
	T	おい	老松	おいまつ
	T	おい	老番	おいばん
MISSING_CANDIDATE	良	ら	49
	T	ら	世良美術館	せらびじゅつかん
	T	ら	伊良	いら
	T	ら	奈良	なら
	T	ら	奈良交通	ならこうつう
	T	ら	奈良仏教	ならぶっきょう
MISSING_CANDIDATE	芽	げ	9
	T	げ	ウェゲナー肉芽腫症	うぇげなーにくげしゅしょう
	T	げ	化膿性肉芽腫	かのうせいにくげしゅ
	T	げ	異物肉芽腫	いぶつにくげしゅ
	T	げ	肉芽	にくげ
	T	げ	肉芽組織	にくげそしき
MISSING_CANDIDATE	菜	かず	4
	T	かず	お菜	おかず
	T	かず	御菜	おかず
MISSING_CANDIDATE	覚	おぼえ	4
	T	おぼえ	合意覚書	ごういおぼえがき
	T	おぼえ	覚書	おぼえがき
	T	おぼえ	覚書き	おぼえがき
	T	おぼえ	覚込む	おぼえこむ
MISSING_CANDIDATE	覚	ざま	5
	T	ざま	目覚し	めざまし
	T	ざま	目覚しい	めざましい
	T	ざま	目覚す	めざます
	T	ざま	眠け覚し	ねむけざまし
	T	ざま	眠気覚し	ねむけざまし
MISSING_CANDIDATE	賀	か	6
	T	か	宇賀の神	うかのかみ
	T	か	宇賀神	うかじん
	T	か	横須賀線	よこすかせん
	T	か	賀留多	かるた
	T	か	賀茂なす	かもなす
MISSING_CANDIDATE	辞	ことば	4
	T	ことば	辞	ことば
	T	ことば	辞典	ことばてん
	T	ことば	閉会の辞	へいかいのことば
	T	ことば	開会の辞	かいかいのことば
MISSING_CANDIDATE	達	たし	3
	T	たし	ご用達	ごようたし
	T	たし	御用達	ごようたし
	T	たし	用達	ようたし
MISSING_CANDIDATE	達	だっ	4
	T	だっ	先達て	せんだって
	T	だっ	口達者	くちだっしゃ
	T	だっ	悪達者	わるだっしゃ
	T	だっ	芸達者	げいだっしゃ
MISSING_CANDIDATE	達	だる	17
	T	だる	火達磨	ひだるま
	T	だる	筋肉達磨	きんにくだるま
	T	だる	菩提達磨	ぼだいだるま
	T	だる	血達磨	ちだるま
	T	だる	達磨	だるま
MISSING_CANDIDATE	鏡	がね	53
	T	がね	お眼鏡	おめがね
	T	がね	のぞき眼鏡	のぞきめがね
	T	がね	クソ眼鏡	くそめがね
	T	がね	ダテ眼鏡	だてめがね
	T	がね	ロイド眼鏡	ろいどめがね
MISSING_CANDIDATE	関	かかわ	5
	T	かかわ	それにも関らず	それにもかかわらず
	T	かかわ	にも関らず	にもかかわらず
	T	かかわ	関らず	かかわらず
	T	かかわ	関り合い	かかわりあい
	T	かかわ	関る	かかわる
MISSING_CANDIDATE	飛	び	5
	T	び	居飛車	いびしゃ
	T	び	振り飛車	ふりびしゃ
	T	び	振飛車	ふりびしゃ
	T	び	王手飛車	おうてびしゃ
	T	び	高飛車	たかびしゃ
MISSING_CANDIDATE	飛	ぴ	3
	T	ぴ	奮飛	ふんぴ
	T	ぴ	突飛	とっぴ
