	T	かむ	神	かむ
	T	かむ	神さび	かむさび
	T	かむ	神わざ	かむわざ
	T	かむ	神事	かむこと
	T	かむ	神南備	かむなび
MISSING_CANDIDATE	神	み	16
	T	み	お神渡り	おみわたり
	T	み	お神籤	おみくじ
	T	み	お神輿	おみこし
	T	み	女神子	おんなみこ
	T	み	御神渡り	おみわたり
MISSING_CANDIDATE	童	わらわ	12
	T	わらわ	京童	きょうわらわ
	T	わらわ	京童部	きょうわらわべ
	T	わらわ	大童	おおわらわ
	T	わらわ	女の童	めのわらわ
	T	わらわ	小さ童	ちいさわらわ
MISSING_CANDIDATE	終	しま	5
	T	しま	お終い	おしまい
	T	しま	御終い	おしまい
	T	しま	終い	しまい
	T	しま	終いに	しまいに
	T	しま	終う	しまう
MISSING_CANDIDATE	者	ざ	3
	T	ざ	猛者	もうざ
	T	ざ	長者	ちょうざ
	T	ざ	験者	けんざ
MISSING_CANDIDATE	荷	が	4
	T	が	花茗荷	はなみょうが
	T	が	茗荷	みょうが
	T	が	薮茗荷	やぶみょうが
	T	が	藪茗荷	やぶみょうが
MISSING_CANDIDATE	荷	にな	3
	T	にな	荷い	にない
	T	にな	荷い太鼓	にないだいこ
	T	にな	荷う	になう
MISSING_CANDIDATE	荷	り	9
	T	り	お稲荷さん	おいなりさん
	T	り	御稲荷さん	おいなりさん
	T	り	稲荷	いなり
	T	り	稲荷ずし	いなりずし
	T	り	稲荷信仰	いなりしんこう
MISSING_CANDIDATE	落	おと	98
	T	おと	かき落す	かきおとす
	T	おと	こけら落し	こけらおとし
	T	おと	そぎ落す	そぎおとす
	T	おと	だるま落し	だるまおとし
	T	おと	ふるい落す	ふるいおとす
MISSING_CANDIDATE	落	おとし	6
	T	おとし	引落	ひきおとし
	T	おとし	落書	おとしがき
	T	おとし	見落	みおとし
	T	おとし	谷落	たにおとし
	T	おとし	隅落	すみおとし
MISSING_CANDIDATE	落	ら	4
	T	ら	掛落	から
	T	ら	洒落	しゃら
	T	ら	洒落臭い	しゃらくさい
	T	ら	瓦落	がら
MISSING_CANDIDATE	落	れ	17
	T	れ	お洒落	おしゃれ
	T	れ	お洒落さん	おしゃれさん
	T	れ	お洒落上手	おしゃれじょうず
	T	れ	お洒落番長	おしゃればんちょう
	T	れ	御洒落	おしゃれ
MISSING_CANDIDATE	薬	くす	6
	T	くす	薬子の変	くすこのへん
	T	くす	薬師	くすし
	T	くす	薬煉	くすね
	T	くす	薬玉	くすだま
	T	くす	薬玉詰草	くすだまつめくさ
MISSING_CANDIDATE	薬	や	10
	T	や	薬缶	やかん
	T	や	薬缶をかける	やかんをかける
	T	や	薬缶頭	やかんあたま
	T	や	薬罐	やかん
	T	や	薬罐をかける	やかんをかける
MISSING_CANDIDATE	血	ぢ	4
	T	ぢ	黄血	きぢ
	T	ぢ	鼻血	はなぢ
	T	ぢ	鼻血が出る	はなぢがでる
	T	ぢ	鼻血も出ない	はなぢもでない
MISSING_CANDIDATE	詩	しい	3
	T	しい	詩哥	しいか
	T	しい	詩歌	しいか
	T	しい	詩歌管弦	しいかかんげん
MISSING_CANDIDATE	調	しらべ	4
	T	しらべ	取調	とりしらべ
	T	しらべ	取調官	とりしらべかん
	T	しらべ	取調室	とりしらべしつ
	T	しらべ	蕃書調所	ばんしょしらべしょ
MISSING_CANDIDATE	調	じょう	3
	T	じょう	双調	そうじょう
	T	じょう	平調	ひょうじょう
	T	じょう	本調子	ほんじょうし
MISSING_CANDIDATE	負	おい	16
	T	おい	下請負	したうけおい
	T	おい	偽装請負	ぎそううけおい
	T	おい	元請負人	もとうけおいにん
	T	おい	又請負	またうけおい
	T	おい	背負投げを食う	せおいなげをくう
MISSING_CANDIDATE	起	おき	6
	T	おき	早起	はやおき
	T	おき	起上がる	おきあがる
	T	おき	起伏し	おきふし
	T	おき	起抜け	おきぬけ
	T	おき	起掛け	おきがけ
MISSING_CANDIDATE	転	こ	3
	T	こ	笑い転ける	わらいこける
	T	こ	転かす	こかす
	T	こ	転ける	こける
MISSING_CANDIDATE	進	すさ	3
	T	すさ	進び	すさび
	T	すさ	進ぶ	すさぶ
	T	すさ	進む	すさむ
MISSING_CANDIDATE	遊	あそび	4
	T	あそび	田遊	たあそび
	T	あそび	神遊	かみあそび
	T	あそび	遊心	あそびごころ
	T	あそび	遊着	あそびぎ
MISSING_CANDIDATE	遊	すさ	5
	T	すさ	吹き遊ぶ	ふきすさぶ
	T	すさ	手遊び	てすさび
	T	すさ	遊び	すさび
	T	すさ	遊ぶ	すさぶ
	T	すさ	遊む	すさむ
MISSING_CANDIDATE	部	へ	34
	T	へ	お部屋	おへや
	T	へ	下の部屋	したのへや
	T	へ	下の部屋	しものへや
	T	へ	中国語の部屋	ちゅうごくごのへや
	T	へ	別部屋	べつへや
MISSING_CANDIDATE	部	ほう	3
	T	ほう	吏部	りほう
	T	ほう	戸部	こほう
	T	ほう	李部	りほう
MISSING_CANDIDATE	酒	き	3
	T	き	御酒	みき
	T	き	白酒	しろき
	T	き	黒酒	くろき
MISSING_CANDIDATE	酒	ざか	4
	T	ざか	作り酒屋	つくりざかや
	T	ざか	居酒や	いざかや
	T	ざか	居酒屋	いざかや
	T	ざか	造り酒屋	つくりざかや
MISSING_CANDIDATE	酒	じゅ	3
	T	じゅ	不飲酒戒	ふおんじゅかい
	T	じゅ	飲酒	おんじゅ
	T	じゅ	飲酒戒	おんじゅかい
MISSING_CANDIDATE	重	かさね	3
	T	かさね	積み重	つみかさね
	T	かさね	重言葉	かさねことば
	T	かさね	重詞	かさねことば
MISSING_CANDIDATE	重	がさ	4
	T	がさ	季重なり	きがさなり
	T	がさ	桜重ね	さくらがさね
	T	がさ	菊重ね	きくがさね
	T	がさ	萩重ね	はぎがさね
MISSING_CANDIDATE	鉄	かな	18
	T	かな	鉄叉	かなまた
	T	かな	鉄味	かなあじ
	T	かな	鉄屎	かなくそ
	T	かな	鉄床	かなとこ
	T	かな	鉄床雲	かなとこぐも
MISSING_CANDIDATE	鉄	がね	5
	T	がね	古鉄	ふるがね
	T	がね	引き鉄	ひきがね
	T	がね	引鉄	ひきがね
	T	がね	燧鉄	ひうちがね
	T	がね	黒鉄黐	くろがねもち
MISSING_CANDIDATE	銀	がね	3
	T	がね	板銀	いたがね
	T	がね	白銀	しろがね
	T	がね	身請銀	みうけがね
MISSING_CANDIDATE	開	はだ	3
	T	はだ	立ち開かる	たちはだかる
	T	はだ	開かる	はだかる
	T	はだ	開ける	はだける
MISSING_CANDIDATE	階	はし	4
	T	はし	階	はし
	T	はし	階子	はしご
	T	はし	階隠し	はしかくし
	T	はし	階隠し	はしがくし
MISSING_CANDIDATE	集	たか	5
	T	たか	寄って集って	よってたかって
	T	たか	臭い物に蝿が集る	くさいものにはえがたかる
	T	たか	集り	たかり
	T	たか	集り屋	たかりや
	T	たか	集る	たかる
MISSING_CANDIDATE	面	じ	11
	T	じ	くそ真面目	くそまじめ
	T	じ	クソ真面目	くそまじめ
	T	じ	不真面目	ふまじめ
	T	じ	大真面目	おおまじめ
	T	じ	気真面目	きまじめ
MISSING_CANDIDATE	面	も	4
	T	も	川面	かわも
	T	も	河面	かわも
	T	も	田の面	たのも
	T	も	面	も
MISSING_CANDIDATE	面	もて	5
	T	もて	強面	こわもて
	T	もて	強面談判	こわもてだんぱん
	T	もて	怖面	こわもて
	T	もて	恐面	こわもて
	T	もて	面	もて
